2026-07-03 03:30:14,508 | INFO     | dental_pipeline.nnunet_setup | Set env: nnUNet_raw=/usershome/cs671_user15/Dobbe AI/dental-segmentation/outputs/nnunet_raw
2026-07-03 03:30:14,508 | INFO     | dental_pipeline.nnunet_setup | Set env: nnUNet_preprocessed=/usershome/cs671_user15/Dobbe AI/dental-segmentation/outputs/nnunet_preprocessed
2026-07-03 03:30:14,508 | INFO     | dental_pipeline.nnunet_setup | Set env: nnUNet_results=/usershome/cs671_user15/Dobbe AI/dental-segmentation/outputs/nnunet_results
2026-07-03 03:30:14,508 | INFO     | __main__ | nnU-Net environment variables set.
2026-07-03 03:30:14,508 | INFO     | __main__ | Command: nnUNetv2_plan_and_preprocess -d 100 --verify_dataset_integrity -np 8
2026-07-03 03:30:16,411 | INFO     | __main__ | [nnUNet] Fingerprint extraction...
2026-07-03 03:30:16,412 | INFO     | __main__ | [nnUNet] Dataset100_ToothFairy3
2026-07-03 03:30:21,480 | INFO     | __main__ | [nnUNet] Using <class 'nnunetv2.imageio.simpleitk_reader_writer.SimpleITKIO'> as reader/writer
2026-07-03 03:31:48,534 | INFO     | __main__ | [nnUNet] 
2026-07-03 03:31:48,534 | INFO     | __main__ | [nnUNet] ####################
2026-07-03 03:31:48,534 | INFO     | __main__ | [nnUNet] verify_dataset_integrity Done.
2026-07-03 03:31:48,535 | INFO     | __main__ | [nnUNet] If you didn't see any error messages then your dataset is most likely OK!
2026-07-03 03:31:48,535 | INFO     | __main__ | [nnUNet] ####################
2026-07-03 03:31:48,535 | INFO     | __main__ | [nnUNet] 
2026-07-03 03:32:06,174 | INFO     | __main__ | [nnUNet] Using <class 'nnunetv2.imageio.simpleitk_reader_writer.SimpleITKIO'> as reader/writer
2026-07-03 03:32:06,202 | INFO     | __main__ | [nnUNet] 
2026-07-03 03:32:09,617 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:   0%|          | 0/532 [00:00<?, ?it/s]
2026-07-03 03:32:14,846 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:   4%|▍         | 20/532 [00:07<02:21,  3.61it/s]
2026-07-03 03:32:14,946 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:   4%|▍         | 22/532 [00:08<02:50,  2.99it/s]
2026-07-03 03:32:15,147 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:   5%|▍         | 24/532 [00:08<01:52,  4.50it/s]
2026-07-03 03:32:15,248 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:   5%|▍         | 25/532 [00:08<01:50,  4.59it/s]
2026-07-03 03:32:15,549 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:   5%|▍         | 26/532 [00:09<01:35,  5.27it/s]
2026-07-03 03:32:15,650 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:   5%|▌         | 27/532 [00:09<01:50,  4.59it/s]
2026-07-03 03:32:16,353 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:   5%|▌         | 28/532 [00:09<01:34,  5.36it/s]
2026-07-03 03:32:16,453 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:   5%|▌         | 29/532 [00:10<02:45,  3.04it/s]
2026-07-03 03:32:16,855 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:   6%|▌         | 31/532 [00:10<01:43,  4.85it/s]
2026-07-03 03:32:17,056 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:   6%|▌         | 33/532 [00:10<01:41,  4.90it/s]
2026-07-03 03:32:17,157 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:   6%|▋         | 34/532 [00:10<01:41,  4.91it/s]
2026-07-03 03:32:17,458 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:   7%|▋         | 35/532 [00:10<01:29,  5.58it/s]
2026-07-03 03:32:17,860 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:   7%|▋         | 36/532 [00:11<01:44,  4.76it/s]
2026-07-03 03:32:17,961 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:   7%|▋         | 37/532 [00:11<02:09,  3.83it/s]
2026-07-03 03:32:18,061 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:   7%|▋         | 38/532 [00:11<01:47,  4.61it/s]
2026-07-03 03:32:18,564 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:   7%|▋         | 39/532 [00:11<01:30,  5.43it/s]
2026-07-03 03:32:18,765 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:   8%|▊         | 40/532 [00:12<02:15,  3.63it/s]
2026-07-03 03:32:18,865 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:   8%|▊         | 42/532 [00:12<01:36,  5.08it/s]
2026-07-03 03:32:19,167 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:   8%|▊         | 43/532 [00:12<01:24,  5.77it/s]
2026-07-03 03:32:19,569 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:   8%|▊         | 44/532 [00:12<01:40,  4.85it/s]
2026-07-03 03:32:19,669 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:   8%|▊         | 45/532 [00:13<02:06,  3.86it/s]
2026-07-03 03:32:20,171 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:   9%|▊         | 46/532 [00:13<01:44,  4.65it/s]
2026-07-03 03:32:20,272 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:   9%|▉         | 48/532 [00:13<01:51,  4.33it/s]
2026-07-03 03:32:20,473 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:   9%|▉         | 49/532 [00:14<01:36,  5.01it/s]
2026-07-03 03:32:20,674 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:   9%|▉         | 50/532 [00:14<01:36,  5.00it/s]
2026-07-03 03:32:21,076 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  10%|▉         | 51/532 [00:14<01:36,  4.99it/s]
2026-07-03 03:32:21,980 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  10%|▉         | 52/532 [00:14<02:02,  3.91it/s]
2026-07-03 03:32:22,081 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  10%|▉         | 53/532 [00:15<03:30,  2.28it/s]
2026-07-03 03:32:22,181 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  10%|█         | 54/532 [00:15<02:43,  2.93it/s]
2026-07-03 03:32:22,583 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  10%|█         | 55/532 [00:15<02:09,  3.68it/s]
2026-07-03 03:32:22,684 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  11%|█         | 56/532 [00:16<02:27,  3.23it/s]
2026-07-03 03:32:22,784 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  11%|█         | 57/532 [00:16<01:57,  4.03it/s]
2026-07-03 03:32:23,487 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  11%|█         | 58/532 [00:16<01:36,  4.90it/s]
2026-07-03 03:32:23,587 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  11%|█         | 59/532 [00:17<02:46,  2.84it/s]
2026-07-03 03:32:23,788 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  11%|█▏        | 60/532 [00:17<02:10,  3.61it/s]
2026-07-03 03:32:23,989 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  12%|█▏        | 62/532 [00:17<01:32,  5.10it/s]
2026-07-03 03:32:24,291 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  12%|█▏        | 63/532 [00:17<01:32,  5.07it/s]
2026-07-03 03:32:24,391 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  12%|█▏        | 64/532 [00:18<01:45,  4.46it/s]
2026-07-03 03:32:24,693 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  12%|█▏        | 66/532 [00:18<01:09,  6.67it/s]
2026-07-03 03:32:24,794 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  13%|█▎        | 68/532 [00:18<01:09,  6.65it/s]
2026-07-03 03:32:24,894 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  13%|█▎        | 69/532 [00:18<01:04,  7.16it/s]
2026-07-03 03:32:24,995 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  13%|█▎        | 70/532 [00:18<01:00,  7.66it/s]
2026-07-03 03:32:25,296 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  14%|█▎        | 72/532 [00:18<00:45, 10.15it/s]
2026-07-03 03:32:25,497 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  14%|█▍        | 74/532 [00:19<00:53,  8.51it/s]
2026-07-03 03:32:25,598 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  14%|█▍        | 76/532 [00:19<00:50,  8.96it/s]
2026-07-03 03:32:25,899 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  15%|█▍        | 78/532 [00:19<00:41, 10.93it/s]
2026-07-03 03:32:26,000 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  15%|█▌        | 80/532 [00:19<00:49,  9.06it/s]
2026-07-03 03:32:26,301 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  15%|█▌        | 82/532 [00:19<00:41, 10.92it/s]
2026-07-03 03:32:26,402 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  16%|█▌        | 84/532 [00:20<00:49,  9.10it/s]
2026-07-03 03:32:26,703 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  16%|█▌        | 86/532 [00:20<00:40, 10.91it/s]
2026-07-03 03:32:26,904 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  17%|█▋        | 88/532 [00:20<00:48,  9.12it/s]
2026-07-03 03:32:27,105 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  17%|█▋        | 90/532 [00:20<00:47,  9.36it/s]
2026-07-03 03:32:27,306 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  17%|█▋        | 92/532 [00:20<00:46,  9.53it/s]
2026-07-03 03:32:27,608 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  18%|█▊        | 94/532 [00:21<00:45,  9.65it/s]
2026-07-03 03:32:27,708 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  18%|█▊        | 96/532 [00:21<00:51,  8.49it/s]
2026-07-03 03:32:27,909 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  18%|█▊        | 97/532 [00:21<00:49,  8.72it/s]
2026-07-03 03:32:28,010 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  18%|█▊        | 98/532 [00:21<00:57,  7.57it/s]
2026-07-03 03:32:28,412 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  19%|█▉        | 101/532 [00:21<00:37, 11.57it/s]
2026-07-03 03:32:28,512 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  19%|█▉        | 103/532 [00:22<00:52,  8.23it/s]
2026-07-03 03:32:28,713 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  20%|█▉        | 105/532 [00:22<00:42, 10.02it/s]
2026-07-03 03:32:28,914 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  20%|██        | 107/532 [00:22<00:42, 10.00it/s]
2026-07-03 03:32:29,316 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  20%|██        | 109/532 [00:22<00:42,  9.98it/s]
2026-07-03 03:32:29,417 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  21%|██        | 111/532 [00:23<00:54,  7.66it/s]
2026-07-03 03:32:29,517 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  21%|██        | 112/532 [00:23<00:52,  7.99it/s]
2026-07-03 03:32:29,618 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  21%|██        | 113/532 [00:23<00:50,  8.31it/s]
2026-07-03 03:32:29,719 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  21%|██▏       | 114/532 [00:23<00:48,  8.63it/s]
2026-07-03 03:32:29,819 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  22%|██▏       | 115/532 [00:23<00:46,  8.92it/s]
2026-07-03 03:32:29,920 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  22%|██▏       | 116/532 [00:23<00:45,  9.16it/s]
2026-07-03 03:32:30,121 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  22%|██▏       | 117/532 [00:23<00:44,  9.35it/s]
2026-07-03 03:32:30,322 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  22%|██▏       | 118/532 [00:23<00:55,  7.52it/s]
2026-07-03 03:32:30,423 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  23%|██▎       | 120/532 [00:24<00:48,  8.43it/s]
2026-07-03 03:32:30,724 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  23%|██▎       | 122/532 [00:24<00:37, 10.85it/s]
2026-07-03 03:32:30,925 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  23%|██▎       | 124/532 [00:24<00:46,  8.85it/s]
2026-07-03 03:32:31,126 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  24%|██▎       | 126/532 [00:24<00:44,  9.19it/s]
2026-07-03 03:32:31,227 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  24%|██▍       | 128/532 [00:24<00:42,  9.43it/s]
2026-07-03 03:32:31,628 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  24%|██▍       | 130/532 [00:25<00:35, 11.31it/s]
2026-07-03 03:32:31,829 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  25%|██▍       | 132/532 [00:25<00:49,  8.10it/s]
2026-07-03 03:32:31,930 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  25%|██▌       | 134/532 [00:25<00:46,  8.59it/s]
2026-07-03 03:32:32,332 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  26%|██▌       | 136/532 [00:25<00:38, 10.39it/s]
2026-07-03 03:32:32,433 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  26%|██▌       | 138/532 [00:26<00:50,  7.81it/s]
2026-07-03 03:32:32,634 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  26%|██▋       | 140/532 [00:26<00:40,  9.57it/s]
2026-07-03 03:32:33,035 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  27%|██▋       | 142/532 [00:26<00:40,  9.68it/s]
2026-07-03 03:32:33,136 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  27%|██▋       | 144/532 [00:26<00:51,  7.54it/s]
2026-07-03 03:32:33,437 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  27%|██▋       | 146/532 [00:26<00:41,  9.27it/s]
2026-07-03 03:32:33,639 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  28%|██▊       | 148/532 [00:27<00:46,  8.28it/s]
2026-07-03 03:32:33,840 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  28%|██▊       | 151/532 [00:27<00:37, 10.03it/s]
2026-07-03 03:32:34,041 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  29%|██▉       | 153/532 [00:27<00:37, 10.00it/s]
2026-07-03 03:32:34,141 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  29%|██▉       | 155/532 [00:27<00:37,  9.99it/s]
2026-07-03 03:32:34,543 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  30%|██▉       | 157/532 [00:27<00:32, 11.64it/s]
2026-07-03 03:32:34,644 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  30%|██▉       | 159/532 [00:28<00:44,  8.39it/s]
2026-07-03 03:32:34,845 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  30%|███       | 161/532 [00:28<00:36, 10.10it/s]
2026-07-03 03:32:34,945 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  31%|███       | 163/532 [00:28<00:36, 10.06it/s]
2026-07-03 03:32:35,347 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  31%|███       | 165/532 [00:28<00:31, 11.78it/s]
2026-07-03 03:32:35,447 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  31%|███▏      | 167/532 [00:29<00:43,  8.38it/s]
2026-07-03 03:32:35,748 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  32%|███▏      | 169/532 [00:29<00:35, 10.13it/s]
2026-07-03 03:32:35,849 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  32%|███▏      | 171/532 [00:29<00:41,  8.75it/s]
2026-07-03 03:32:36,050 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  33%|███▎      | 173/532 [00:29<00:34, 10.52it/s]
2026-07-03 03:32:36,351 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  33%|███▎      | 175/532 [00:29<00:34, 10.34it/s]
2026-07-03 03:32:36,451 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  33%|███▎      | 177/532 [00:30<00:40,  8.86it/s]
2026-07-03 03:32:36,753 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  34%|███▎      | 179/532 [00:30<00:33, 10.63it/s]
2026-07-03 03:32:36,853 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  34%|███▍      | 181/532 [00:30<00:38,  9.01it/s]
2026-07-03 03:32:37,355 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  34%|███▍      | 183/532 [00:30<00:32, 10.78it/s]
2026-07-03 03:32:37,456 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  35%|███▍      | 185/532 [00:31<00:48,  7.13it/s]
2026-07-03 03:32:37,556 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  35%|███▌      | 187/532 [00:31<00:39,  8.83it/s]
2026-07-03 03:32:37,858 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  36%|███▌      | 189/532 [00:31<00:32, 10.59it/s]
2026-07-03 03:32:37,958 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  36%|███▌      | 191/532 [00:31<00:37,  8.99it/s]
2026-07-03 03:32:38,159 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  36%|███▋      | 193/532 [00:31<00:31, 10.76it/s]
2026-07-03 03:32:38,260 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  37%|███▋      | 195/532 [00:31<00:32, 10.50it/s]
2026-07-03 03:32:38,661 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  37%|███▋      | 197/532 [00:32<00:27, 12.23it/s]
2026-07-03 03:32:38,963 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  37%|███▋      | 199/532 [00:32<00:39,  8.51it/s]
2026-07-03 03:32:39,164 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  38%|███▊      | 201/532 [00:32<00:42,  7.85it/s]
2026-07-03 03:32:39,365 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  38%|███▊      | 204/532 [00:32<00:34,  9.64it/s]
2026-07-03 03:32:39,667 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  39%|███▊      | 206/532 [00:33<00:33,  9.71it/s]
2026-07-03 03:32:39,767 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  39%|███▉      | 208/532 [00:33<00:37,  8.60it/s]
2026-07-03 03:32:39,968 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  39%|███▉      | 209/532 [00:33<00:36,  8.79it/s]
2026-07-03 03:32:40,069 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  40%|███▉      | 211/532 [00:33<00:35,  9.14it/s]
2026-07-03 03:32:40,370 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  40%|███▉      | 212/532 [00:33<00:34,  9.28it/s]
2026-07-03 03:32:40,471 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  40%|████      | 213/532 [00:34<00:47,  6.73it/s]
2026-07-03 03:32:40,571 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  40%|████      | 215/532 [00:34<00:35,  8.96it/s]
2026-07-03 03:32:41,074 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  41%|████      | 217/532 [00:34<00:28, 11.09it/s]
2026-07-03 03:32:41,174 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  41%|████      | 219/532 [00:34<00:45,  6.95it/s]
2026-07-03 03:32:41,375 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  42%|████▏     | 221/532 [00:34<00:35,  8.80it/s]
2026-07-03 03:32:41,677 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  42%|████▏     | 223/532 [00:35<00:33,  9.13it/s]
2026-07-03 03:32:41,877 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  42%|████▏     | 225/532 [00:35<00:37,  8.18it/s]
2026-07-03 03:32:42,078 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  43%|████▎     | 227/532 [00:35<00:35,  8.65it/s]
2026-07-03 03:32:42,380 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  43%|████▎     | 229/532 [00:35<00:33,  9.01it/s]
2026-07-03 03:32:42,481 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  43%|████▎     | 231/532 [00:36<00:37,  8.12it/s]
2026-07-03 03:32:42,682 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  44%|████▎     | 232/532 [00:36<00:35,  8.40it/s]
2026-07-03 03:32:42,783 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  44%|████▍     | 233/532 [00:36<00:40,  7.37it/s]
2026-07-03 03:32:43,285 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  44%|████▍     | 234/532 [00:36<00:38,  7.82it/s]
2026-07-03 03:32:43,385 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  44%|████▍     | 236/532 [00:37<00:52,  5.68it/s]
2026-07-03 03:32:43,586 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  45%|████▍     | 238/532 [00:37<00:38,  7.64it/s]
2026-07-03 03:32:43,887 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  45%|████▌     | 240/532 [00:37<00:35,  8.29it/s]
2026-07-03 03:32:43,988 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  45%|████▌     | 242/532 [00:37<00:37,  7.67it/s]
2026-07-03 03:32:44,089 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  46%|████▌     | 243/532 [00:37<00:36,  8.02it/s]
2026-07-03 03:32:44,189 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  46%|████▌     | 244/532 [00:37<00:34,  8.36it/s]
2026-07-03 03:32:44,390 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  46%|████▌     | 245/532 [00:37<00:33,  8.68it/s]
2026-07-03 03:32:44,691 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  46%|████▌     | 246/532 [00:38<00:39,  7.32it/s]
2026-07-03 03:32:44,792 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:  46%|████▋     | 247/532 [00:38<00:51,  5.56it/s]
